Country,Latest Rate,Year,Pop 2022
Finland,100,2000,5540.745
Norway,100,2011,5434.319
Luxembourg,100,2000,647.599
Andorra,100,2011,79.824
Greenland,100,2001,56.466
Liechtenstein,100,2011,39.327
Uzbekistan,99.9952,2015,34627.652
Latvia,99.8927,2015,1850.651
Estonia,99.8235,2015,1326.062
Lithuania,99.8233,2015,2750.055
Azerbaijan,99.8053,2015,10358.074
Guam,99.789,2015,171.774
Kazakhstan,99.7878,2015,19397.998
Poland,99.7874,2015,39857.145
Tajikistan,99.7811,2015,9952.787
Armenia,99.7684,2015,2780.469
Ukraine,99.7641,2015,39701.739
Georgia,99.7596,2015,3744.385
Belarus,99.722,2015,9534.954
Russia,99.7196,2015,144713.314
Slovenia,99.7148,2015,2119.844
Cuba,99.7107,2015,11212.191
Barbados,99.7,2002,281.635
Turkmenistan,99.6929,2015,6430.77
Slovakia,99.6,2004,5643.453
Palau,99.524,2015,18.055
Kyrgyzstan,99.5013,2015,6630.623
Tonga,99.3979,2015,106.858
Hungary,99.3809,2015,9967.308
Maldives,99.321,2015,523.787
Croatia,99.2726,2015,4030.358
Moldova,99.2444,2015,3272.996
Cyprus,99.0598,2015,1251.488
Italy,99.0158,2015,59037.474
Samoa,99.015,2015,222.382
United States of America,99,2003,338289.857
Japan,99,2002,123951.692
Germany,99,2003,83369.843
United Kingdom,99,2003,67508.936
France,99,2003,64626.628
Canada,99,2003,38454.327
Australia,99,2003,26177.413
Netherlands,99,2003,17564.014
Belgium,99,2003,11655.93
Sweden,99,2003,10549.347
Switzerland,99,2003,8740.472
Denmark,99,2003,5882.261
New Zealand,99,2003,5185.288
Ireland,99,2003,5023.109
Iceland,99,2003,372.899
Monaco,99,2003,36.469
Saint Pierre and Miquelon,99,1982,5.862
Trinidad and Tobago,98.9696,2015,1531.044
Antigua and Barbuda,98.95,2014,93.763
Cayman Islands,98.8678,2007,68.706
Romania,98.757,2015,19659.267
Montenegro,98.7199,2015,627.082
Bosnia and Herz.,98.4858,2015,3233.526
